11,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,11
0,2,2,2,0,0,0,2,2,2,2,2,0,0,0,2,2,2,0
1,2,0,2,1,0,1,2,0,0,0,2,1,0,1,2,0,2,1
0,2,0,2,0,2,2,2,0,0,0,2,2,2,0,2,0,2,0
1,2,0,2,1,2,0,0,0,0,0,0,0,2,1,2,0,2,1
0,2,0,2,0,2,2,2,2,2,2,2,2,2,0,2,0,2,0
21,2,0,2,1,0,1,0,1,0,1,0,1,0,1,2,0,2,21
0,2,0,2,0,2,2,2,0,2,2,2,2,2,0,2,0,2,0
1,2,0,2,1,2,0,2,1,2,0,0,0,2,1,2,0,2,1
0,2,2,2,0,2,0,2,0,2,2,2,0,2,0,2,2,2,0
1,0,1,0,1,2,0,2,1,0,1,2,0,2,1,0,1,0,1
0,2,2,2,0,2,0,2,2,2,0,2,0,2,0,2,2,2,0
1,2,0,2,1,2,0,0,0,2,1,2,0,2,1,2,0,2,1
2,2,0,2,0,2,2,2,2,2,0,2,2,2,0,2,0,2,2
2,0,0,2,1,0,1,0,1,10,1,0,1,0,1,2,0,0,2
2,2,0,2,0,2,2,2,0,2,2,2,2,2,0,2,0,2,2
1,2,0,2,1,2,0,2,1,2,0,0,0,2,1,2,0,2,1
0,2,2,2,0,2,0,2,0,2,2,2,0,2,0,2,2,2,0
1,0,1,0,1,2,0,2,1,0,1,2,0,2,1,0,1,0,1
0,2,2,2,0,2,0,2,2,2,0,2,0,2,0,2,2,2,0
1,2,0,2,1,2,0,0,0,2,1,2,0,2,1,2,0,2,1
0,2,0,2,0,2,2,2,2,2,0,2,2,2,0,2,0,2,0
21,2,0,2,1,0,1,0,1,0,1,0,1,0,1,2,0,2,21
0,2,0,2,0,2,2,2,2,2,2,2,2,2,0,2,0,2,0
1,2,0,2,1,2,0,0,0,0,0,0,0,2,1,2,0,2,1
0,2,0,2,0,2,2,2,0,0,0,2,2,2,0,2,0,2,0
1,2,0,2,1,0,1,2,0,0,0,2,1,0,1,2,0,2,1
0,2,2,2,0,0,0,2,2,2,2,2,0,0,0,2,2,2,0
11,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,11
